codigo_ocorrencia,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
83097,***,HELICÓPTERO,ROBINSON HELICOPTER,R44,R44,PISTÃO,MONOMOTOR,4.0,2001.0,BRASIL,PARTICULAR,CAMPO DE MARTE - SP,MAROUM,CRUZEIRO,***,SUBSTANCIAL,4
83085,***,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,7.0,1976.0,BRASIL,TÁXI AÉREO,FAZENDA ÁGUA LIMPA,PLÁCIDO DE CASTRO,TÁXI,NÃO REGULAR,LEVE,0
83074,***,AVIÃO,EMBRAER,ERJ 190-400,E295,JATO,BIMOTOR,0.0,2022.0,BRASIL,REGULAR,VIRACOPOS,TANCREDO NEVES,INDETERMINADA,REGULAR,NENHUM,0
83063,***,AVIÃO,BOEING COMPANY,737-86N,B738,Não Informado,BIMOTOR,0.0,2006.0,BRASIL,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,PRESIDENTE JUSCELINO KUBITSCHEK,POUSO,REGULAR,NENHUM,0
83051,***,***,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-42-500,AT45,TURBOÉLICE,BIMOTOR,48.0,1999.0,BRASIL,REGULAR,PORTO URUCU,CARAUARI,TÁXI,REGULAR,NENHUM,0
83044,***,AVIÃO,AIRBUS INDUSTRIE,A320-251N,A320,JATO,BIMOTOR,Não Informado,2022.0,BRASIL,REGULAR,SALGADO FILHO,VIRACOPOS,POUSO,REGULAR,NENHUM,0
83036,***,AVIÃO,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A 600,AT76,***,***,Não Informado,Não Informado,BRASIL,REGULAR,TANCREDO NEVES,CABO FRIO,POUSO,REGULAR,NENHUM,0
83035,***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,75.0,0.0,BRASIL,REGULAR,GOVERNADOR ALUÍZIO ALVES,FERNANDO DE NORONHA,POUSO,REGULAR,NENHUM,0
83033,***,AVIÃO,AIRBUS INDUSTRIE,A320-251N,A320,JATO,BIMOTOR,160.0,0.0,BRASIL,REGULAR,PORTO SEGURO,PRESIDENTE PRUDENTE,POUSO,REGULAR,NENHUM,0
83032,***,AVIÃO,AIRBUS INDUSTRIE,A320-251N,A320,JATO,BIMOTOR,Não Informado,Não Informado,BRASIL,REGULAR,VIRACOPOS,BRIGADEIRO LYSIAS RODRIGUES,POUSO,REGULAR,NENHUM,0
83031,***,AVIÃO,AIRBUS S.A.S.,A320-251N,A20N,***,BIMOTOR,Não Informado,2017.0,BRASIL,REGULAR,VAL DE CANS / JÚLIO CEZAR RIBEIRO,MARECHAL CUNHA MACHADO,POUSO,REGULAR,NENHUM,0
83030,***,AVIÃO,AIRBUS S.A.S.,A320-251N,A20N,***,***,Não Informado,2019.0,BRASIL,REGULAR,ALTAMIRA,VAL DE CANS / JÚLIO CEZAR RIBEIRO,POUSO,REGULAR,NENHUM,0
83029,***,AVIÃO,EMBRAER,ERJ 190-400,***,JATO,BIMOTOR,0.0,2023.0,BRASIL,REGULAR,VIRACOPOS,PRESIDENTE JUSCELINO KUBITSCHEK,DECOLAGEM,REGULAR,NENHUM,0
83028,***,AVIÃO,AIRBUS S.A.S.,A320-251N,A20N,***,***,Não Informado,2023.0,BRASIL,REGULAR,GUARARAPES - GILBERTO FREYRE,TANCREDO NEVES,POUSO,REGULAR,NENHUM,0
83027,***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,75.0,0.0,BRASIL,REGULAR,GOVERNADOR JOSÉ RICHA,AFONSO PENA,POUSO,REGULAR,NENHUM,0
83026,***,AVIÃO,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A (600),AT76,TURBOÉLICE,BIMOTOR,Não Informado,2022.0,BRASIL,REGULAR,TANCREDO NEVES,CORONEL ALTINO MACHADO,POUSO,REGULAR,NENHUM,0
83025,***,AVIÃO,AIRBUS S.A.S.,A320-251N,A20N,JATO,BIMOTOR,Não Informado,2016.0,BRASIL,REGULAR,DEPUTADO LUÍS EDUARDO MAGALHÃES,VIRACOPOS,DECOLAGEM,REGULAR,NENHUM,0
83024,***,AVIÃO,EMBRAER,ERJ 190-400,E295,JATO,BIMOTOR,148.0,2019.0,BRASIL,REGULAR,VIRACOPOS,HERCÍLIO LUZ,POUSO,REGULAR,NENHUM,0
83012,***,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,125.0,2011.0,BRASIL,REGULAR,CONGONHAS,AFONSO PENA,POUSO,REGULAR,NENHUM,0
83011,***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT76,TURBOÉLICE,BIMOTOR,75.0,0.0,BRASIL,REGULAR,VIRACOPOS,GOVERNADOR JOSÉ RICHA,CRUZEIRO,REGULAR,NENHUM,0
83010,***,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,6.0,1976.0,BRASIL,ADMINISTRAÇÃO DIRETA,SANTA MARIA,FAZENDA AERO-AMIL,POUSO,POLICIAL,LEVE,0
83008,***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,75.0,2015.0,BRASIL,REGULAR,AFONSO PENA,GOVERNADOR JOSÉ RICHA,POUSO,REGULAR,NENHUM,0
83007,***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,73.0,2012.0,BRASIL,REGULAR,VIRACOPOS,LEITE LOPES,POUSO,REGULAR,NENHUM,0
83001,***,AVIÃO,AIRBUS S.A.S.,A320-251N,A20N,JATO,BIMOTOR,0.0,2021.0,BRASIL,REGULAR,VIRACOPOS,DEPUTADO LUÍS EDUARDO MAGALHÃES,ESTACIONAMENTO,REGULAR,NENHUM,0
82997,***,AVIÃO,AIRBUS INDUSTRIE,A320-251N,A320,JATO,BIMOTOR,160.0,0.0,BRASIL,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,GUARARAPES - GILBERTO FREYRE,DECOLAGEM,REGULAR,LEVE,0
82996,***,AVIÃO,AIRBUS S.A.S.,A320-251N,A20N,JATO,BIMOTOR,Não Informado,2016.0,BRASIL,REGULAR,PINTO MARTINS,NÃO IDENTIFICADO,DECOLAGEM,REGULAR,NENHUM,0
82995,***,AVIÃO,AIRBUS S.A.S.,A320-253N,A20N,JATO,BIMOTOR,Não Informado,2018.0,BRASIL,REGULAR,VIRACOPOS,REGIONAL HUGO CANTERGIANI,POUSO,REGULAR,NENHUM,0
82994,***,AVIÃO,AIRBUS S.A.S.,A320-253N,A20N,***,***,Não Informado,2018.0,BRASIL,REGULAR,MARECHAL CUNHA MACHADO,PREFEITO RENATO MOREIRA,POUSO,REGULAR,NENHUM,0
82993,***,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,125.0,2010.0,BRASIL,REGULAR,SALGADO FILHO,AFONSO PENA,POUSO,REGULAR,LEVE,0
82992,***,AVIÃO,AIRBUS INDUSTRIE,A320-251N,A320,JATO,BIMOTOR,183.0,2017.0,BRASIL,REGULAR,VIRACOPOS,SALGADO FILHO,DECOLAGEM,REGULAR,NENHUM,0
82991,***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,75.0,0.0,BRASIL,REGULAR,FRANK MILOYE MILENKOVICH,VIRACOPOS,POUSO,REGULAR,LEVE,0
82990,***,***,***,***,***,***,***,Não Informado,Não Informado,BRASIL,REGULAR,EDUARDO GOMES,VAL DE CANS / JÚLIO CEZAR RIBEIRO,POUSO,REGULAR,LEVE,0
82987,***,AVIÃO,AIRBUS S.A.S.,A320-251N,***,JATO,BIMOTOR,Não Informado,2020.0,BRASIL,REGULAR,ANTONIO CARLOS JOBIM / GALEÃO,PRESIDENTE JOÃO SUASSUNA,DECOLAGEM,REGULAR,NENHUM,0
82986,***,AVIÃO,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A 600,AT76,***,***,Não Informado,Não Informado,BRASIL,REGULAR,TANCREDO NEVES,MÁRIO RIBEIRO,APROXIMAÇÃO FINAL,REGULAR,LEVE,0
82979,***,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,6.0,1980.0,BRASIL,INSTRUÇÃO,SANTA MARIA,SALGADO FILHO,POUSO,PRIVADA,LEVE,0
82974,***,AVIÃO,AIRBUS S.A.S.,A320-251N,A20N,JATO,BIMOTOR,Não Informado,2016.0,BRASIL,REGULAR,VIRACOPOS,MARECHAL RONDON,DECOLAGEM,REGULAR,LEVE,0
82973,***,AVIÃO,AIRBUS INDUSTRIE,A320-251N,A320,JATO,TRIMOTOR,Não Informado,2016.0,BRASIL,REGULAR,SANTA GENOVEVA/GOIÂNIA,VIRACOPOS,POUSO,REGULAR,NENHUM,0
82972,***,AVIÃO,EMBRAER,ERJ 190-400,***,JATO,BIMOTOR,0.0,2022.0,BRASIL,REGULAR,VIRACOPOS,HERCÍLIO LUZ,DECOLAGEM,REGULAR,NENHUM,0
82971,***,AVIÃO,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A (600),AT72,TURBOÉLICE,BIMOTOR,73.0,2011.0,BRASIL,REGULAR,LAURO CARNEIRO DE LOYOLA,VIRACOPOS,POUSO,REGULAR,LEVE,0
82970,***,AVIÃO,AIRBUS INDUSTRIE,A320-251N,A320,JATO,BIMOTOR,170.0,0.0,BRASIL,REGULAR,SALGADO FILHO,GOVERNADOR ANDRÉ FRANCO MONTORO,POUSO,REGULAR,LEVE,0
82967,***,AVIÃO,EMBRAER,ERJ 190-400,E295,JATO,BIMOTOR,148.0,2019.0,BRASIL,REGULAR,AFONSO PENA,SALGADO FILHO,DECOLAGEM,REGULAR,NENHUM,0
82966,***,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,R44,PISTÃO,MONOMOTOR,4.0,2011.0,BRASIL,TÁXI AÉREO,CAMPO DE MARTE - SP,CAMPO DE MARTE - SP,DECOLAGEM,NÃO REGULAR,NENHUM,0
82965,***,AVIÃO,AIRBUS,A320-251N,A20N,***,***,Não Informado,Não Informado,BRASIL,REGULAR,CONGONHAS,GUARARAPES - GILBERTO FREYRE,DECOLAGEM,REGULAR,NENHUM,0
82964,***,AVIÃO,BOEING,B787-900,***,***,SEM TRAÇÃO,0.0,0.0,HOLANDA,REGULAR,AMSTERDAM AIRPORT SCHIPHOL,ANTONIO CARLOS JOBIM / GALEÃO,POUSO,REGULAR,NENHUM,0
82963,***,AVIÃO,EMBRAER,EMB-810D,PA34,PISTÃO,BIMOTOR,6.0,1993.0,BRASIL,***,NÃO IDENTIFICADO,DEPUTADO LUÍS EDUARDO MAGALHÃES,POUSO,NÃO REGULAR,NENHUM,0
82962,***,AVIÃO,RAYTHEON AIRCRAFT,400A,BE40,JATO,BIMOTOR,11.0,2005.0,BRASIL,***,ERECHIM,GENERAL LEITE DE CASTRO,DECOLAGEM,ESPECIALIZADA,NENHUM,0
82959,***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,75.0,2013.0,BRASIL,REGULAR,VIRACOPOS,LEITE LOPES,POUSO,REGULAR,LEVE,0
82957,***,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,184.0,2013.0,BRASIL,REGULAR,SANTA MARIA,PRESIDENTE JUSCELINO KUBITSCHEK,POUSO,REGULAR,NENHUM,0
82956,***,AVIÃO,BOEING COMPANY,737-8 MAX,737,JATO,BIMOTOR,0.0,2018.0,BRASIL,REGULAR,ANTONIO CARLOS JOBIM / GALEÃO,PRESIDENTE JUSCELINO KUBITSCHEK,POUSO,REGULAR,NENHUM,0
82955,***,AVIÃO,BOEING COMPANY,737-7EH,B737,JATO,BIMOTOR,154.0,2009.0,BRASIL,REGULAR,SANTO ÂNGELO,GOVERNADOR ANDRÉ FRANCO MONTORO,DECOLAGEM,REGULAR,NENHUM,0
82954,***,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,197.0,2008.0,BRASIL,REGULAR,SALGADO FILHO,AFONSO PENA,DECOLAGEM,REGULAR,NENHUM,0
82953,***,AVIÃO,AIRBUS INDUSTRIE,A320-271N,A320,JATO,BIMOTOR,183.0,2019.0,BRASIL,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO,APROXIMAÇÃO FINAL,REGULAR,NENHUM,0
82952,***,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,184.0,2012.0,BRASIL,REGULAR,HERCÍLIO LUZ,CONGONHAS,DECOLAGEM,REGULAR,NENHUM,0
82951,***,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,184.0,2010.0,BRASIL,REGULAR,CONGONHAS,MINISTRO VICTOR KONDER,POUSO,REGULAR,NENHUM,0
82948,***,AVIÃO,AIRBUS INDUSTRIE,A321-231,A321,JATO,BIMOTOR,232.0,2010.0,BRASIL,REGULAR,DEPUTADO LUÍS EDUARDO MAGALHÃES,NÃO IDENTIFICADO,DECOLAGEM,REGULAR,NENHUM,0
82947,***,AVIÃO,AIRBUS S.A.S.,A320-251N,A320,***,***,Não Informado,2019.0,BRASIL,REGULAR,SALGADO FILHO,NÃO IDENTIFICADO,DECOLAGEM,REGULAR,***,0
82946,***,AVIÃO,AIRBUS S.A.S.,A320-271N,***,JATO,SEM TRAÇÃO,0.0,0.0,BRASIL,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO,POUSO,REGULAR,NENHUM,0
82945,***,AVIÃO,BEECH AIRCRAFT,R44 II,400A,Não Informado,***,Não Informado,1997.0,BRASIL,NÃO REGULAR,NÃO IDENTIFICADO,DEPUTADO LUÍS EDUARDO MAGALHÃES,POUSO,TÁXI AÉREO,NENHUM,0
82944,***,AVIÃO,AIRBUS INDUSTRIE,A319-132,A319,JATO,BIMOTOR,154.0,2008.0,BRASIL,REGULAR,CONGONHAS,PRESIDENTE JUSCELINO KUBITSCHEK,DECOLAGEM,REGULAR,NENHUM,0
82943,***,AVIÃO,PILATUS,PC-24,PC24,JATO,BIMOTOR,8.0,2021.0,BRASIL,TÁXI AÉREO,TERRAVISTA,SÃO PAULO CATARINA AEROPORTO EXECUTIVO,POUSO,NÃO REGULAR,NENHUM,0
82940,***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,75.0,2012.0,BRASIL,REGULAR,SANTA MARIA,GUARARAPES - GILBERTO FREYRE,CRUZEIRO,REGULAR,LEVE,0
82938,***,AVIÃO,LEONARDO S.P.A,AW139,A139,***,***,Não Informado,2021.0,BRASIL,TÁXI AÉREO,MACAÉ,FORA DE AERODROMO,POUSO,TÁXI AÉREO,NENHUM,0
82937,***,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,0.0,2014.0,BRASIL,REGULAR,HERCÍLIO LUZ,AFONSO PENA,DECOLAGEM,REGULAR,LEVE,0
82936,***,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,125.0,2011.0,BRASIL,REGULAR,SANTA GENOVEVA/GOIÂNIA,MARECHAL RONDON,DECOLAGEM,REGULAR,NENHUM,0
82935,***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,73.0,2012.0,BRASIL,REGULAR,VIRACOPOS,PRESIDENTE PRUDENTE,POUSO,REGULAR,LEVE,0
82934,***,AVIÃO,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR 72-212A(600),***,***,***,Não Informado,2023.0,BRASIL,REGULAR,LAURO CARNEIRO DE LOYOLA,VIRACOPOS,DECOLAGEM,REGULAR,NENHUM,0
82933,***,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,184.0,2011.0,BRASIL,REGULAR,TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO,GOVERNADOR ANDRÉ FRANCO MONTORO,CRUZEIRO,REGULAR,NENHUM,0
82932,***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,IPAN,PISTÃO,MONOMOTOR,1.0,1979.0,BRASIL,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,ESPECIALIZADA,SUBSTANCIAL,0
82931,***,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,197.0,2009.0,BRASIL,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,SANTA MARIA,CRUZEIRO,REGULAR,NENHUM,0
82930,***,AVIÃO,Avions de Transport Régional (ATR),ATR 72-212A,***,TURBOÉLICE,SEM TRAÇÃO,0.0,0.0,FRANÇA,REGULAR,AEROPORTO INTERNACIONAL AMÍLCAR CABRAL,PINTO MARTINS,CRUZEIRO,REGULAR,LEVE,0
82929,***,AVIÃO,AIRBUS S.A.S.,A320-251N,A20N,JATO,BIMOTOR,Não Informado,2023.0,BRASIL,REGULAR,AEROPORTO INTERNACIONAL CAPITAN CORBETA CA CURBELO,GOVERNADOR ANDRÉ FRANCO MONTORO,DECOLAGEM,REGULAR,NENHUM,0
82928,***,AVIÃO,AIRBUS INDUSTRIE,A321-211,A321,JATO,BIMOTOR,Não Informado,Não Informado,BRASIL,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,VAL DE CANS / JÚLIO CEZAR RIBEIRO,POUSO,REGULAR,NENHUM,0
82927,***,AVIÃO,AIRBUS INDUSTRIE,A320-251N,A20N,JATO,***,Não Informado,2019.0,BRASIL,REGULAR,VIRACOPOS,EDUARDO GOMES,POUSO,REGULAR,NENHUM,0
82926,***,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,199.0,2013.0,BRASIL,REGULAR,CONGONHAS,PORTO SEGURO,DECOLAGEM,REGULAR,NENHUM,0
82925,***,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,194.0,2006.0,BRASIL,REGULAR,ZUMBI DOS PALMARES,PRESIDENTE JUSCELINO KUBITSCHEK,POUSO,REGULAR,NENHUM,0
82924,***,AVIÃO,BOEING COMPANY,737-8 MAX,B38M,JATO,BIMOTOR,196.0,2018.0,BRASIL,REGULAR,CONGONHAS,PINTO MARTINS,POUSO,REGULAR,LEVE,0
82923,***,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,125.0,2012.0,BRASIL,REGULAR,CACOAL,MARECHAL RONDON,ESTACIONAMENTO,REGULAR,NENHUM,0
82922,***,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,125.0,2012.0,BRASIL,REGULAR,SANTOS DUMONT,GOVERNADOR ANDRÉ FRANCO MONTORO,APROXIMAÇÃO FINAL,REGULAR,LEVE,0
82921,***,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,125.0,2010.0,BRASIL,REGULAR,VAL DE CANS / JÚLIO CEZAR RIBEIRO,VIRACOPOS,ESTACIONAMENTO,REGULAR,LEVE,0
82920,***,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,194.0,2006.0,BRASIL,REGULAR,SALGADO FILHO,ANTONIO CARLOS JOBIM / GALEÃO,POUSO,REGULAR,NENHUM,0
82919,***,AVIÃO,AIRBUS S.A.S,A321-231,A321,JATO,BIMOTOR,0.0,2014.0,BRASIL,REGULAR,MARECHAL CUNHA MACHADO,GOVERNADOR ANDRÉ FRANCO MONTORO,DECOLAGEM,REGULAR,NENHUM,0
82918,***,AVIÃO,EMBRAER,ERJ 190-400,E295,JATO,BIMOTOR,148.0,2019.0,BRASIL,REGULAR,HERCÍLIO LUZ,VIRACOPOS,POUSO,REGULAR,***,0
82917,***,AVIÃO,YABORA INDUSTRIA AERONAUTICA S.A,ERJ 190-400,E295,Não Informado,MONOMOTOR,0.0,0.0,BRASIL,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,TANCREDO NEVES,APROXIMAÇÃO FINAL,REGULAR,NENHUM,0
82916,***,AVIÃO,BOEING COMPANY,737-86N,B738,Não Informado,BIMOTOR,0.0,2006.0,BRASIL,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,MARECHAL RONDON,ESTACIONAMENTO,REGULAR,LEVE,0
82915,***,AVIÃO,BOEING COMPANY,777-32WER,B77W,JATO,BIMOTOR,384.0,2012.0,BRASIL,REGULAR,AEROPORTO HUMBERTO DELGADO,GOVERNADOR ANDRÉ FRANCO MONTORO,POUSO,REGULAR,NENHUM,0
82914,***,AVIÃO,AIRBUS INDUSTRIE,A330-243F,A330,JATO,BIMOTOR,Não Informado,2013.0,COLÔMBIA,REGULAR,NÃO IDENTIFICADO,EURICO DE AGUIAR SALLES,CRUZEIRO,REGULAR,NENHUM,0
82913,***,HELICÓPTERO,AGUSTA,A109E,A109,TURBOEIXO,BIMOTOR,8.0,2011.0,BRASIL,PARTICULAR,NEW ENGLAND,HBR,CRUZEIRO,PRIVADA,LEVE,0
82912,***,AVIÃO,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A,AT75,***,SEM TRAÇÃO,0.0,2013.0,BRASIL,REGULAR,LAURO CARNEIRO DE LOYOLA,CONGONHAS,POUSO,REGULAR,NENHUM,0
82911,***,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,125.0,2012.0,BRASIL,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,SANTOS DUMONT,DECOLAGEM,REGULAR,NENHUM,0
82910,***,AVIÃO,BOEING COMPANY,737-8HX,B738,JATO,BIMOTOR,193.0,2012.0,BRASIL,REGULAR,BAHIA - JORGE AMADO,CONGONHAS,DECOLAGEM,REGULAR,NENHUM,0
82909,***,AVIÃO,PIPER AIRCRAFT,PA-34-200,PA34,PISTÃO,BIMOTOR,7.0,1974.0,BRASIL,INSTRUÇÃO,Comandante Rolim Adolfo Amaro,Comandante Rolim Adolfo Amaro,POUSO,INSTRUÇÃO,LEVE,0
82908,***,AVIÃO,AIRBUS INDUSTRIE,A321-211,A321,JATO,BIMOTOR,Não Informado,Não Informado,BRASIL,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,MARECHAL RONDON,POUSO,REGULAR,NENHUM,0
82907,***,AVIÃO,AIRBUS INDUSTRIE,A319-132,***,JATO,BIMOTOR,153.0,0.0,BRASIL,REGULAR,PRESIDENTE JUSCELINO KUBITSCHEK,BRIGADEIRO LYSIAS RODRIGUES,POUSO,REGULAR,NENHUM,0
82906,***,AVIÃO,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A (600),AT76,TURBOÉLICE,SEM TRAÇÃO,0.0,2021.0,BRASIL,REGULAR,VIRACOPOS,ANTONIO CARLOS JOBIM / GALEÃO,POUSO,REGULAR,NENHUM,0
82905,***,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,184.0,2012.0,BRASIL,REGULAR,REGIONAL SUL,GOVERNADOR ANDRÉ FRANCO MONTORO,DECOLAGEM,REGULAR,NENHUM,0
82904,***,AVIÃO,AIRBUS INDUSTRIE,A321-231,A321,JATO,BIMOTOR,232.0,2007.0,BRASIL,REGULAR,NÃO IDENTIFICADO,BRIGADEIRO LYSIAS RODRIGUES,POUSO,REGULAR,NENHUM,0
82903,***,AVIÃO,BOEING COMPANY,737-8EH,***,JATO,BIMOTOR,0.0,2014.0,BRASIL,REGULAR,SANTA MARIA,PRESIDENTE JUSCELINO KUBITSCHEK,DECOLAGEM,REGULAR,NENHUM,0
82902,***,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,184.0,2008.0,BRASIL,REGULAR,PRESIDENTE JUSCELINO KUBITSCHEK,ALBERTO ALCOLUMBRE,POUSO,REGULAR,NENHUM,0
82901,***,AVIÃO,MONTAER - MONTAGEM E MANUTENCAO AERONAUTICA LTDA,MONTAER MC01,***,PISTÃO,SEM TRAÇÃO,0.0,0.0,BRASIL,INSTRUÇÃO,AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS,AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS,POUSO,INSTRUÇÃO,LEVE,0
82900,***,AVIÃO,AGROINDUSTRIAL FAZENDA MARQUESA LTDA,RV-10,ZZZZ,PISTÃO,MONOMOTOR,4.0,2012.0,BRASIL,EXPERIMENTAL,CORONEL AVIADOR CARLOS ORLEANS GUIMARÃES,MONTE ALTO,CRUZEIRO,EXPERIMENTAL,SUBSTANCIAL,0
82899,***,AVIÃO,PIPER AIRCRAFT,PA-28-180,P28A,PISTÃO,MONOMOTOR,4.0,1971.0,BRASIL,INSTRUÇÃO,CRISTIANO FERREIRA VARELLA,ATIBAIA,CRUZEIRO,INSTRUÇÃO,SUBSTANCIAL,0
82898,***,AVIÃO,PIPER AIRCRAFT,PA-34-200,PA34,PISTÃO,BIMOTOR,5.0,1973.0,BRASIL,INSTRUÇÃO,CAMPO DE MARTE - SP,CAMPO DE MARTE - SP,TÁXI,INSTRUÇÃO,NENHUM,0
82897,***,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1.0,1978.0,BRASIL,ESPECIALIZADA,AERÓDROMO NÃO CADASTRADO,AERÓDROMO NÃO CADASTRADO,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0
82896,***,AVIÃO,PIPER AIRCRAFT,PA-28R-201,P28R,PISTÃO,MONOMOTOR,4.0,1989.0,BRASIL,PARTICULAR,FAZENDA IROHY,FAZENDA IROHY,DECOLAGEM,PRIVADA,DESTRUÍDA,0
82895,***,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,184.0,2008.0,BRASIL,REGULAR,NÃO IDENTIFICADO,GOVERNADOR ANDRÉ FRANCO MONTORO,CRUZEIRO,REGULAR,NENHUM,0
82894,***,AVIÃO,BOEING COMPANY,B767,***,JATO,BIMOTOR,0.0,0.0,ESTADOS UNIDOS,REGULAR,ANTONIO CARLOS JOBIM / GALEÃO,GEORGE BUSH INTERCONTINENTAL AIRPORT,PUSHBACK,REGULAR,LEVE,0
82892,***,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,125.0,2012.0,BRASIL,REGULAR,PRESIDENTE JUSCELINO KUBITSCHEK,MARECHAL RONDON,DECOLAGEM,REGULAR,LEVE,0
82891,***,AVIÃO,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A (600),AT76,TURBOÉLICE,BIMOTOR,0.0,2016.0,BRASIL,REGULAR,REGIONAL DA ZONA DA MATA,VIRACOPOS,POUSO,REGULAR,NENHUM,0
82890,***,AVIÃO,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A (600),AT76,TURBOÉLICE,BIMOTOR,0.0,2016.0,BRASIL,REGULAR,REGIONAL DA ZONA DA MATA,VIRACOPOS,DECOLAGEM,REGULAR,LEVE,0
