codigo_ocorrencia,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
46605,PARTICULAR,AVIÃO,PIPER AIRCRAFT,PA-46R-350T,PA46,PISTÃO,MONOMOTOR,6.0,0.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,NENHUM,0
46604,TÁXI AÉREO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,7.0,1982.0,BRASIL,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,TÁXI AÉREO,NENHUM,0
46603,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,6.0,1989.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,LEVE,0
46602,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711ST,P28T,PISTÃO,MONOMOTOR,4.0,1985.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0
46601,***,AVIÃO,BOEING COMPANY,747-273C,B742,JATO,QUADRIMOTOR,0.0,1973.0,ESTADOS UNIDOS,***,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,***,LEVE,0
46600,PARTICULAR,AVIÃO,CIRRUS DESIGN,SR22,SR22,PISTÃO,MONOMOTOR,4.0,2010.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,NENHUM,0
46599,INSTRUÇÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,P28A,PISTÃO,MONOMOTOR,4.0,1979.0,BRASIL,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,INSTRUÇÃO,NENHUM,0
46598,INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,3.0,1991.0,BRASIL,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,INSTRUÇÃO,LEVE,0
46597,PARTICULAR,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,6.0,1974.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,SUBSTANCIAL,0
46594,***,AVIÃO,XAVANTE,A-122-B,A122,PISTÃO,MONOMOTOR,2.0,1978.0,BRASIL,INSTRUÇÃO,EMBAIXADOR WALTHER MOREIRA SALLES,FORA DE AERODROMO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0
46593,EXPERIMENTAL,AVIÃO,***,COMP AIR CA-7,ZZZZ,PISTÃO,MONOMOTOR,2.0,2007.0,BRASIL,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,EXPERIMENTAL,SUBSTANCIAL,0
46592,***,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,7.0,1980.0,BRASIL,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,TÁXI AÉREO,SUBSTANCIAL,0
46591,***,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,R22,PISTÃO,MONOMOTOR,2.0,1994.0,BRASIL,INSTRUÇÃO,JACAREPAGUÁ,JACAREPAGUÁ,MANOBRA,INSTRUÇÃO,DESTRUÍDA,2
46590,***,HELICÓPTERO,ROBINSON HELICOPTER,R22,R22,PISTÃO,MONOMOTOR,2.0,2001.0,BRASIL,INSTRUÇÃO,MARICÁ,MARICÁ,POUSO,INSTRUÇÃO,SUBSTANCIAL,0
46589,EXPERIMENTAL,ULTRALEVE,***,RV-9A,ULAC,PISTÃO,MONOMOTOR,2.0,2009.0,BRASIL,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,EXPERIMENTAL,LEVE,1
46588,EXPERIMENTAL,AVIÃO,JULIO CESAR MANDELLI,EXCEL,ZZZZ,PISTÃO,MONOMOTOR,3.0,2010.0,BRASIL,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,EXPERIMENTAL,DESTRUÍDA,2
46587,***,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,6.0,1980.0,BRASIL,ADMINISTRAÇÃO DIRETA,SÃO PEDRO,CAMPO GRANDE,CORRIDA APÓS POUSO,POLICIAL,SUBSTANCIAL,0
46586,AGRÍCOLA,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,IPAN,PISTÃO,MONOMOTOR,1.0,1975.0,BRASIL,AGRÍCOLA,FORA DE AERODROMO,URUAÇU,POUSO,AGRÍCOLA,SUBSTANCIAL,0
46585,***,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PAUL,PISTÃO,MONOMOTOR,2.0,1947.0,BRASIL,INSTRUÇÃO,AEROCLUBE DE BAGÉ,FORA DE AERODROMO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0
46584,***,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1.0,2011.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0
46583,***,AVIÃO,PIPER AIRCRAFT,PA-31T2,PAY2,TURBOÉLICE,BIMOTOR,7.0,1983.0,BRASIL,TÁXI AÉREO,SÃO PEDRO,BACACHERI,APROXIMAÇÃO FINAL,TÁXI AÉREO,DESTRUÍDA,4
46582,***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,6.0,1995.0,BRASIL,PARTICULAR,CONFRESA,MARECHAL RONDON,CRUZEIRO,PRIVADA,DESTRUÍDA,4
46581,EXPERIMENTAL,ULTRALEVE,***,EAGLE II,ULAC,PISTÃO,MONOMOTOR,2.0,1987.0,BRASIL,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,EXPERIMENTAL,DESTRUÍDA,2
