codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_dia,ocorrencia_hora,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_tipo,localizacao
36434,INCIDENTE,JOINVILLE,SC,02/02/2008,17:00:00,1,NÃO,FALHA DO MOTOR EM VOO,JOINVILLE - SC
36432,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,06/03/2008,14:47:00,1,NÃO,ESTOURO DE PNEU,SÃO JOSÉ DOS PINHAIS - PR
36430,INCIDENTE,LONDRINA,PR,07/03/2008,11:00:00,1,NÃO,PERDA DE CONTROLE NO SOLO,LONDRINA - PR
36428,INCIDENTE,CAXIAS DO SUL,RS,20/04/2008,12:00:00,1,NÃO,PERDA DE CONTROLE NO SOLO,CAXIAS DO SUL - RS
36426,INCIDENTE,SÃO GABRIEL,RS,08/02/2008,11:50:00,1,NÃO,COM PARA-BRISAS / JANELA / PORTA,SÃO GABRIEL - RS
36425,INCIDENTE,CURITIBA,PR,26/04/2008,12:15:00,1,NÃO,FALHA DO MOTOR EM VOO,CURITIBA - PR
36424,INCIDENTE,CURITIBA,PR,25/04/2008,18:00:00,1,NÃO,COLISÃO COM OBSTÁCULOS NO SOLO,CURITIBA - PR
36422,INCIDENTE,MARIA HELENA,PR,01/05/2008,12:00:00,1,NÃO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,MARIA HELENA - PR
36421,INCIDENTE,BLUMENAU,SC,13/05/2008,14:20:00,1,NÃO,PERDA DE CONTROLE NO SOLO,BLUMENAU - SC
36420,INCIDENTE,CAMPO MOURÃO,PR,19/05/2008,20:30:00,1,NÃO,PERDA DE CONTROLE NO SOLO,CAMPO MOURÃO - PR
36419,INCIDENTE,MARINGÁ,PR,22/05/2008,14:03:00,1,NÃO,ESTOURO DE PNEU,MARINGÁ - PR
36418,INCIDENTE,CANELA,RS,03/06/2008,12:00:00,1,NÃO,COM PARA-BRISAS / JANELA / PORTA,CANELA - RS
36416,INCIDENTE,NAVEGANTES,SC,17/06/2008,11:10:00,1,NÃO,COM TREM DE POUSO,NAVEGANTES - SC
